time,Thi Mean,Thi Std,Tho Mean,Tho Std,Tci Mean,Tci Std,Tco Mean,Tco Std
0.000,35.189,0.090,33.178,0.108,1.021,0.042,1.374,0.069
10.000,35.157,0.134,33.186,0.114,1.013,0.067,1.333,0.066
20.000,35.189,0.166,33.193,0.054,1.045,0.082,1.374,0.069
30.000,35.165,0.108,33.217,0.092,1.013,0.085,1.317,0.120
40.000,35.165,0.095,33.178,0.108,1.037,0.124,1.293,0.103
50.000,35.165,0.087,33.225,0.059,1.029,0.076,1.325,0.081
60.000,35.165,0.126,33.225,0.087,1.021,0.085,1.358,0.039
70.000,35.141,0.100,33.186,0.056,1.021,0.093,1.366,0.069
80.000,35.141,0.093,33.193,0.099,1.053,0.095,1.317,0.084
90.000,35.149,0.140,33.201,0.073,0.997,0.082,1.366,0.057
100.000,35.197,0.135,33.178,0.077,0.997,0.062,1.366,0.103
110.000,35.149,0.099,33.249,0.114,1.045,0.097,1.366,0.069
120.000,35.149,0.124,33.257,0.086,0.981,0.083,1.382,0.057
130.000,35.094,0.118,33.241,0.075,1.029,0.076,1.382,0.069
140.000,35.181,0.095,33.241,0.084,1.076,0.090,1.366,0.110
150.000,35.133,0.164,33.201,0.123,1.013,0.067,1.374,0.096
160.000,35.197,0.084,33.201,0.123,1.013,0.100,1.374,0.069
170.000,35.110,0.090,33.201,0.111,1.045,0.033,1.374,0.069
180.000,35.023,0.137,33.249,0.093,1.005,0.053,1.350,0.107
190.000,35.118,0.118,33.209,0.070,0.981,0.075,1.374,0.043
200.000,35.110,0.139,33.217,0.092,0.997,0.073,1.333,0.054
210.000,35.173,0.129,33.186,0.067,1.021,0.093,1.358,0.077
220.000,35.110,0.134,33.249,0.077,0.989,0.079,1.382,0.079
230.000,35.126,0.119,33.265,0.056,1.013,0.055,1.366,0.095
240.000,35.157,0.082,33.201,0.050,1.037,0.092,1.333,0.066
250.000,35.197,0.112,33.209,0.079,1.005,0.075,1.342,0.046
260.000,35.118,0.112,33.249,0.077,1.013,0.067,1.342,0.089
270.000,35.157,0.162,33.217,0.075,1.045,0.082,1.301,0.079
280.000,35.197,0.112,33.257,0.077,1.021,0.077,1.366,0.095
290.000,35.102,0.165,33.257,0.077,1.037,0.065,1.382,0.079
300.000,35.149,0.150,33.265,0.100,1.029,0.093,1.374,0.079
310.000,35.133,0.125,33.209,0.087,1.045,0.033,1.398,0.092
320.000,35.133,0.131,33.233,0.073,1.005,0.084,1.342,0.097
330.000,35.110,0.104,33.249,0.131,1.021,0.113,1.350,0.084
