time,Thi Mean,Thi Std,Tho Mean,Tho Std,Tci Mean,Tci Std,Tco Mean,Tco Std
0.000,81.377,0.096,75.576,0.125,0.578,0.058,7.404,0.086
10.000,81.339,0.101,75.483,0.049,0.538,0.076,7.404,0.077
20.000,81.377,0.096,75.514,0.180,0.586,0.075,7.453,0.077
30.000,81.377,0.102,75.453,0.154,0.602,0.062,7.404,0.067
40.000,81.339,0.124,75.407,0.124,0.578,0.095,7.347,0.086
50.000,81.393,0.149,75.338,0.122,0.546,0.067,7.323,0.055
60.000,81.446,0.101,75.330,0.173,0.523,0.033,7.290,0.086
70.000,81.377,0.108,75.322,0.174,0.594,0.079,7.266,0.066
80.000,81.385,0.082,75.269,0.162,0.562,0.092,7.217,0.068
90.000,81.362,0.122,75.230,0.167,0.546,0.107,7.242,0.109
100.000,81.454,0.102,75.146,0.116,0.570,0.090,7.209,0.102
110.000,81.515,0.105,75.223,0.141,0.562,0.065,7.152,0.068
120.000,81.461,0.131,75.169,0.140,0.562,0.075,7.152,0.057
130.000,81.446,0.124,75.100,0.094,0.546,0.077,7.136,0.095
140.000,81.499,0.137,75.115,0.102,0.586,0.075,7.120,0.051
150.000,81.438,0.132,75.046,0.128,0.594,0.069,7.193,0.081
160.000,81.438,0.127,74.992,0.104,0.554,0.055,7.185,0.077
170.000,81.469,0.166,74.931,0.126,0.586,0.083,7.169,0.075
180.000,81.454,0.102,74.816,0.105,0.570,0.062,7.266,0.086
190.000,81.354,0.135,74.893,0.105,0.562,0.084,7.282,0.100
200.000,81.377,0.102,74.839,0.097,0.562,0.075,7.315,0.078
210.000,81.431,0.102,74.923,0.083,0.562,0.075,7.388,0.088
220.000,81.400,0.103,74.885,0.072,0.570,0.062,7.404,0.055
230.000,81.499,0.199,74.877,0.147,0.554,0.067,7.493,0.084
240.000,81.438,0.127,74.770,0.137,0.610,0.075,7.510,0.115
250.000,81.400,0.097,74.862,0.096,0.618,0.055,7.469,0.088
260.000,81.438,0.098,74.747,0.129,0.570,0.082,7.550,0.088
270.000,81.515,0.067,74.770,0.132,0.554,0.067,7.542,0.122
280.000,81.515,0.159,74.616,0.097,0.562,0.084,7.510,0.101
290.000,81.446,0.113,74.662,0.196,0.562,0.106,7.542,0.095
300.000,81.438,0.116,74.616,0.116,0.594,0.058,7.542,0.087
310.000,81.461,0.131,74.678,0.126,0.602,0.082,7.526,0.100
320.000,81.393,0.149,74.647,0.160,0.554,0.076,7.477,0.078
330.000,81.408,0.114,74.662,0.155,0.602,0.062,7.542,0.095
340.000,81.461,0.090,74.570,0.117,0.538,0.067,7.534,0.102
350.000,81.461,0.082,74.517,0.107,0.523,0.082,7.485,0.055
360.000,81.515,0.098,74.570,0.142,0.570,0.090,7.461,0.087
370.000,81.415,0.118,74.532,0.090,0.570,0.073,7.453,0.121
380.000,81.484,0.135,74.448,0.096,0.554,0.093,7.420,0.089
390.000,81.538,0.103,74.524,0.115,0.562,0.084,7.388,0.116
400.000,81.507,0.088,74.563,0.134,0.531,0.065,7.372,0.109
410.000,81.568,0.087,74.524,0.109,0.562,0.065,7.282,0.051
420.000,81.614,0.103,74.570,0.099,0.570,0.073,7.258,0.124
430.000,81.560,0.081,74.563,0.177,0.586,0.083,7.266,0.086
440.000,81.667,0.084,74.517,0.101,0.610,0.075,7.152,0.103
450.000,81.637,0.125,74.509,0.147,0.570,0.082,7.128,0.115
460.000,81.683,0.102,74.501,0.125,0.554,0.055,7.095,0.089
470.000,81.698,0.126,74.494,0.105,0.570,0.082,6.998,0.086
480.000,81.683,0.114,74.448,0.140,0.610,0.099,6.949,0.089
490.000,81.675,0.118,74.494,0.084,0.538,0.093,6.868,0.060
500.000,81.698,0.109,74.432,0.128,0.538,0.085,6.754,0.115
510.000,81.789,0.130,74.401,0.174,0.523,0.073,6.705,0.089
520.000,81.706,0.126,74.455,0.104,0.562,0.053,6.608,0.089
530.000,81.751,0.212,74.432,0.122,0.538,0.085,6.543,0.097
540.000,81.728,0.105,74.348,0.158,0.531,0.092,6.511,0.094
550.000,81.728,0.155,74.440,0.113,0.562,0.092,6.405,0.110
560.000,81.812,0.148,74.409,0.119,0.594,0.069,6.251,0.116
570.000,81.820,0.091,74.294,0.073,0.578,0.069,6.234,0.094
580.000,81.751,0.107,74.263,0.133,0.602,0.062,6.145,0.107
590.000,81.789,0.157,74.309,0.178,0.586,0.112,6.007,0.116
600.000,81.744,0.174,74.417,0.133,0.554,0.093,5.934,0.087
610.000,81.828,0.079,74.309,0.116,0.538,0.067,5.869,0.100
620.000,81.889,0.125,74.363,0.094,0.586,0.099,5.731,0.097
630.000,81.851,0.109,74.409,0.129,0.554,0.067,5.641,0.086
640.000,81.828,0.118,74.263,0.117,0.546,0.056,5.503,0.055
650.000,81.873,0.134,74.355,0.117,0.538,0.041,5.397,0.094
660.000,81.851,0.145,74.217,0.081,0.578,0.079,5.357,0.069
670.000,81.973,0.076,74.256,0.113,0.570,0.062,5.267,0.069
680.000,81.927,0.109,74.179,0.119,0.602,0.090,5.170,0.064
690.000,81.896,0.105,74.194,0.130,0.586,0.065,5.072,0.094
700.000,81.927,0.103,74.179,0.094,0.562,0.092,4.950,0.128
710.000,81.942,0.140,74.202,0.122,0.562,0.053,4.861,0.095
720.000,81.881,0.098,74.156,0.110,0.554,0.076,4.772,0.094
730.000,81.957,0.170,74.202,0.142,0.546,0.085,4.731,0.084
740.000,81.950,0.147,74.163,0.167,0.570,0.073,4.658,0.060
750.000,81.934,0.103,74.102,0.129,0.578,0.069,4.593,0.060
760.000,81.965,0.114,74.002,0.127,0.570,0.082,4.487,0.075
770.000,81.996,0.097,74.033,0.133,0.586,0.083,4.471,0.087
780.000,81.980,0.124,74.048,0.133,0.546,0.119,4.398,0.086
790.000,82.026,0.134,74.056,0.148,0.594,0.069,4.316,0.109
800.000,82.034,0.122,74.018,0.063,0.578,0.069,4.276,0.084
810.000,82.041,0.108,74.041,0.120,0.554,0.100,4.235,0.094
820.000,82.049,0.132,74.048,0.117,0.538,0.067,4.195,0.064
