time,Thi Mean,Thi Std,Tho Mean,Tho Std,Tci Mean,Tci Std,Tco Mean,Tco Std
0.000,22.098,0.056,21.630,0.077,0.586,0.091,0.635,0.069
10.000,22.122,0.075,21.654,0.098,0.633,0.100,0.683,0.054
20.000,22.082,0.050,21.670,0.075,0.618,0.067,0.643,0.057
30.000,22.122,0.065,21.654,0.090,0.602,0.073,0.651,0.069
40.000,22.098,0.067,21.646,0.038,0.641,0.065,0.667,0.051
50.000,22.106,0.056,21.654,0.063,0.618,0.093,0.659,0.055
60.000,22.106,0.068,21.654,0.082,0.578,0.095,0.659,0.077
70.000,22.074,0.087,21.686,0.063,0.633,0.067,0.643,0.043
80.000,22.114,0.056,21.670,0.075,0.610,0.065,0.659,0.067
90.000,22.066,0.065,21.670,0.092,0.578,0.058,0.635,0.057
100.000,22.106,0.094,21.638,0.086,0.586,0.065,0.700,0.075
110.000,22.098,0.101,21.606,0.063,0.578,0.058,0.667,0.051
120.000,22.082,0.082,21.638,0.056,0.641,0.065,0.643,0.079
130.000,22.026,0.042,21.614,0.076,0.625,0.056,0.683,0.094
140.000,22.106,0.056,21.646,0.054,0.610,0.075,0.667,0.051
150.000,22.042,0.065,21.646,0.084,0.602,0.073,0.626,0.102
160.000,22.066,0.075,21.662,0.088,0.625,0.093,0.602,0.086
170.000,22.050,0.073,21.654,0.063,0.562,0.084,0.659,0.055
180.000,22.066,0.075,21.630,0.077,0.570,0.062,0.610,0.081
190.000,22.058,0.059,21.622,0.101,0.618,0.076,0.651,0.095
200.000,22.098,0.067,21.630,0.094,0.610,0.084,0.651,0.079
210.000,22.050,0.050,21.622,0.077,0.562,0.075,0.651,0.069
220.000,22.066,0.084,21.614,0.054,0.633,0.119,0.691,0.089
230.000,22.066,0.084,21.710,0.101,0.570,0.090,0.618,0.051
240.000,22.066,0.065,21.662,0.059,0.586,0.065,0.659,0.067
250.000,22.082,0.073,21.614,0.084,0.570,0.073,0.675,0.071
260.000,22.074,0.070,21.622,0.067,0.578,0.058,0.659,0.109
270.000,22.042,0.084,21.630,0.108,0.641,0.065,0.659,0.067
280.000,22.082,0.098,21.646,0.066,0.633,0.055,0.667,0.075
290.000,22.058,0.079,21.678,0.059,0.586,0.075,0.651,0.069
300.000,22.042,0.065,21.638,0.056,0.657,0.058,0.683,0.077
310.000,22.090,0.054,21.598,0.079,0.602,0.073,0.667,0.064
