time,Thi Mean,Thi Std,Tho Mean,Tho Std,Tci Mean,Tci Std,Tco Mean,Tco Std
0.000,65.698,0.095,60.035,0.105,0.562,0.053,4.195,0.051
10.000,65.660,0.146,60.043,0.098,0.578,0.087,4.178,0.066
20.000,65.660,0.121,60.035,0.138,0.602,0.073,4.195,0.075
30.000,65.668,0.122,59.942,0.097,0.554,0.067,4.243,0.075
40.000,65.598,0.122,59.997,0.082,0.570,0.062,4.227,0.087
50.000,65.752,0.055,59.958,0.117,0.586,0.053,4.211,0.069
60.000,65.675,0.122,59.973,0.097,0.570,0.050,4.260,0.086
70.000,65.675,0.142,59.958,0.143,0.602,0.073,4.235,0.094
80.000,65.645,0.147,59.958,0.133,0.618,0.067,4.219,0.069
90.000,65.745,0.054,60.020,0.110,0.546,0.067,4.260,0.054
100.000,65.729,0.061,60.051,0.142,0.515,0.069,4.268,0.071
110.000,65.691,0.089,60.004,0.106,0.546,0.085,4.276,0.075
120.000,65.675,0.104,59.966,0.098,0.578,0.069,4.292,0.069
130.000,65.652,0.140,60.051,0.155,0.578,0.058,4.292,0.069
140.000,65.698,0.114,59.973,0.132,0.538,0.067,4.292,0.095
150.000,65.660,0.109,59.973,0.090,0.515,0.087,4.357,0.075
160.000,65.645,0.152,60.012,0.145,0.594,0.069,4.341,0.066
170.000,65.768,0.089,59.966,0.117,0.570,0.073,4.373,0.079
180.000,65.537,0.073,59.966,0.152,0.570,0.082,4.373,0.042
190.000,65.675,0.132,60.090,0.049,0.554,0.055,4.398,0.067
200.000,65.737,0.131,60.067,0.112,0.586,0.083,4.471,0.079
210.000,65.575,0.108,60.035,0.111,0.586,0.075,4.414,0.089
220.000,65.683,0.083,60.004,0.124,0.578,0.079,4.422,0.066
230.000,65.637,0.096,59.927,0.139,0.538,0.055,4.430,0.089
240.000,65.591,0.151,60.012,0.115,0.554,0.076,4.455,0.110
250.000,65.706,0.117,60.067,0.093,0.570,0.073,4.455,0.079
260.000,65.621,0.135,59.958,0.161,0.610,0.065,4.487,0.092
270.000,65.729,0.130,60.004,0.068,0.594,0.058,4.471,0.095
280.000,65.668,0.090,60.082,0.118,0.578,0.045,4.520,0.075
290.000,65.660,0.146,60.012,0.167,0.578,0.079,4.503,0.054
300.000,65.691,0.089,60.082,0.077,0.602,0.050,4.512,0.118
310.000,65.714,0.109,60.004,0.161,0.570,0.073,4.585,0.094
320.000,65.668,0.104,59.989,0.100,0.554,0.076,4.552,0.079
330.000,65.760,0.110,59.966,0.138,0.586,0.065,4.577,0.097
340.000,65.675,0.127,60.043,0.152,0.586,0.053,4.577,0.097
350.000,65.691,0.096,59.942,0.090,0.570,0.073,4.601,0.084
360.000,65.729,0.140,60.059,0.159,0.610,0.099,4.577,0.089
370.000,65.598,0.091,60.028,0.075,0.562,0.106,4.552,0.057
