time,Thi Mean,Thi Std,Tho Mean,Tho Std,Tci Mean,Tci Std,Tco Mean,Tco Std
0.000,51.342,0.084,45.858,0.078,0.554,0.055,0.708,0.077
10.000,51.350,0.169,45.913,0.106,0.570,0.062,0.813,0.116
20.000,51.326,0.075,45.921,0.105,0.570,0.062,0.740,0.077
30.000,51.405,0.129,45.905,0.119,0.586,0.083,0.732,0.087
40.000,51.389,0.089,45.921,0.118,0.594,0.079,0.756,0.081
50.000,51.444,0.130,45.889,0.123,0.562,0.053,0.732,0.103
60.000,51.389,0.109,45.897,0.140,0.523,0.073,0.732,0.079
70.000,51.334,0.161,45.881,0.133,0.602,0.097,0.716,0.069
80.000,51.108,0.105,45.755,0.092,0.562,0.106,0.797,0.069
90.000,51.287,0.093,45.889,0.153,0.546,0.093,0.700,0.051
100.000,51.334,0.123,45.834,0.092,0.594,0.108,0.748,0.084
110.000,51.405,0.118,45.826,0.124,0.602,0.082,0.781,0.100
120.000,51.444,0.113,45.881,0.110,0.531,0.106,0.748,0.051
130.000,51.381,0.130,45.881,0.081,0.523,0.090,0.724,0.057
140.000,51.405,0.123,45.905,0.119,0.570,0.097,0.724,0.079
150.000,51.420,0.129,45.905,0.067,0.554,0.041,0.732,0.069
160.000,51.350,0.122,45.889,0.123,0.523,0.050,0.716,0.079
170.000,51.350,0.117,45.881,0.104,0.554,0.093,0.740,0.067
180.000,51.420,0.112,45.913,0.124,0.602,0.097,0.748,0.100
190.000,51.436,0.132,45.952,0.078,0.641,0.065,0.724,0.043
200.000,51.428,0.074,45.921,0.091,0.586,0.065,0.756,0.081
210.000,51.475,0.143,46.007,0.138,0.594,0.058,0.716,0.069
220.000,51.444,0.162,45.928,0.104,0.546,0.067,0.765,0.101
230.000,51.475,0.152,45.889,0.075,0.531,0.106,0.732,0.069
240.000,51.405,0.099,45.866,0.091,0.562,0.065,0.724,0.123
250.000,51.459,0.100,45.928,0.081,0.578,0.079,0.765,0.077
260.000,51.412,0.092,45.976,0.066,0.538,0.125,0.756,0.081
270.000,51.576,0.143,45.913,0.112,0.562,0.075,0.643,0.088
280.000,51.397,0.122,45.921,0.105,0.602,0.062,0.732,0.079
