time,Thi Mean,Thi Std,Tho Mean,Tho Std,Tci Mean,Tci Std,Tco Mean,Tco Std
0.000,45.235,0.134,40.940,0.107,0.570,0.073,0.716,0.069
10.000,45.235,0.134,40.972,0.079,0.531,0.084,0.773,0.081
20.000,45.243,0.091,40.940,0.119,0.523,0.082,0.748,0.075
30.000,45.243,0.105,40.909,0.069,0.546,0.077,0.765,0.054
40.000,45.266,0.117,41.027,0.119,0.554,0.067,0.716,0.103
50.000,45.243,0.098,40.924,0.118,0.546,0.067,0.773,0.089
60.000,45.259,0.120,40.995,0.122,0.538,0.067,0.732,0.079
70.000,45.298,0.158,41.019,0.056,0.554,0.093,0.740,0.094
80.000,45.376,0.129,40.995,0.104,0.586,0.065,0.756,0.071
90.000,45.314,0.084,41.114,0.092,0.523,0.073,0.716,0.110
100.000,45.361,0.097,41.011,0.093,0.531,0.140,0.724,0.079
110.000,45.282,0.192,41.059,0.118,0.546,0.085,0.716,0.079
120.000,45.376,0.099,41.027,0.055,0.538,0.093,0.724,0.103
130.000,45.423,0.098,41.027,0.107,0.562,0.092,0.732,0.057
140.000,45.400,0.128,41.043,0.082,0.618,0.055,0.773,0.060
150.000,45.376,0.092,41.067,0.045,0.538,0.067,0.740,0.067
160.000,45.416,0.150,41.051,0.069,0.594,0.069,0.748,0.084
170.000,45.416,0.101,41.067,0.079,0.531,0.065,0.748,0.100
180.000,45.376,0.124,41.035,0.099,0.562,0.099,0.700,0.075
190.000,45.369,0.128,41.114,0.075,0.546,0.136,0.732,0.057
200.000,45.439,0.137,41.043,0.104,0.554,0.085,0.724,0.069
210.000,45.361,0.152,41.011,0.067,0.578,0.087,0.724,0.096
220.000,45.439,0.103,41.011,0.119,0.546,0.067,0.724,0.079
230.000,45.408,0.072,41.059,0.083,0.586,0.099,0.691,0.089
240.000,45.439,0.081,41.090,0.076,0.562,0.065,0.740,0.067
250.000,45.455,0.066,41.106,0.076,0.523,0.090,0.773,0.097
260.000,45.447,0.083,41.051,0.095,0.546,0.067,0.708,0.102
270.000,45.423,0.083,41.067,0.095,0.562,0.075,0.716,0.079
280.000,45.439,0.103,41.098,0.067,0.546,0.067,0.724,0.079
290.000,45.416,0.136,41.098,0.085,0.531,0.084,0.675,0.105
300.000,45.455,0.149,41.130,0.087,0.578,0.079,0.765,0.054
310.000,45.447,0.139,41.082,0.106,0.523,0.097,0.765,0.077
320.000,45.423,0.138,41.090,0.085,0.538,0.055,0.789,0.039
330.000,45.526,0.111,41.035,0.084,0.586,0.075,0.724,0.103
340.000,45.455,0.084,41.035,0.118,0.578,0.058,0.700,0.051
350.000,45.423,0.123,41.067,0.058,0.578,0.069,0.740,0.055
360.000,45.337,0.108,41.059,0.091,0.546,0.067,0.724,0.057
370.000,45.439,0.103,41.090,0.067,0.546,0.077,0.716,0.095
380.000,45.416,0.145,41.106,0.135,0.602,0.082,0.732,0.069
390.000,45.416,0.078,41.059,0.098,0.594,0.079,0.756,0.081
400.000,45.463,0.118,41.106,0.067,0.546,0.056,0.740,0.086
