time,Thi Mean,Thi Std,Tho Mean,Tho Std,Tci Mean,Tci Std,Tco Mean,Tco Std
0.000,73.706,0.120,65.385,0.216,0.546,0.056,5.340,0.067
10.000,73.744,0.083,65.540,0.228,0.594,0.058,5.316,0.115
20.000,73.721,0.173,65.416,0.150,0.586,0.053,5.332,0.084
30.000,73.813,0.136,65.470,0.182,0.538,0.076,5.365,0.087
40.000,73.821,0.083,65.470,0.136,0.594,0.095,5.349,0.110
50.000,73.706,0.177,65.524,0.219,0.507,0.083,5.389,0.081
60.000,73.806,0.096,65.470,0.239,0.578,0.095,5.389,0.060
70.000,73.813,0.126,65.470,0.141,0.562,0.075,5.357,0.088
80.000,73.775,0.105,65.354,0.154,0.523,0.090,5.422,0.121
90.000,73.729,0.081,65.416,0.154,0.570,0.104,5.373,0.077
100.000,73.714,0.182,65.385,0.203,0.562,0.053,5.470,0.046
110.000,73.790,0.117,65.509,0.166,0.618,0.067,5.446,0.069
120.000,73.806,0.089,65.416,0.178,0.578,0.079,5.405,0.089
130.000,73.798,0.144,65.447,0.160,0.562,0.084,5.487,0.081
140.000,73.783,0.063,65.501,0.180,0.562,0.065,5.462,0.084
150.000,73.760,0.131,65.501,0.180,0.586,0.065,5.422,0.067
160.000,73.744,0.110,65.509,0.185,0.538,0.076,5.495,0.075
170.000,73.729,0.109,65.439,0.179,0.586,0.075,5.470,0.081
180.000,73.798,0.144,65.409,0.118,0.538,0.055,5.535,0.109
190.000,73.798,0.139,65.416,0.209,0.554,0.055,5.527,0.069
200.000,73.721,0.152,65.378,0.168,0.515,0.079,5.470,0.071
210.000,73.783,0.177,65.478,0.202,0.602,0.104,5.462,0.084
220.000,73.744,0.132,65.447,0.234,0.570,0.062,5.503,0.055
230.000,73.767,0.148,65.432,0.230,0.554,0.076,5.487,0.105
240.000,73.813,0.110,65.486,0.176,0.602,0.050,5.405,0.060
250.000,73.775,0.155,65.486,0.201,0.594,0.045,5.462,0.084
260.000,73.737,0.121,65.447,0.261,0.570,0.090,5.511,0.079
270.000,73.729,0.103,65.409,0.198,0.538,0.093,5.454,0.086
280.000,73.829,0.136,65.393,0.182,0.562,0.065,5.438,0.057
290.000,73.729,0.109,65.447,0.172,0.562,0.092,5.470,0.046
300.000,73.783,0.081,65.401,0.252,0.586,0.065,5.438,0.057
310.000,73.852,0.092,65.324,0.185,0.586,0.112,5.470,0.105
320.000,73.905,0.110,65.501,0.229,0.562,0.053,5.422,0.077
330.000,73.783,0.140,65.409,0.138,0.570,0.050,5.397,0.086
340.000,73.836,0.125,65.385,0.197,0.531,0.075,5.316,0.054
350.000,73.790,0.142,65.470,0.150,0.554,0.067,5.349,0.069
360.000,73.798,0.107,65.354,0.199,0.554,0.107,5.373,0.055
370.000,73.752,0.141,65.354,0.230,0.602,0.050,5.340,0.077
380.000,73.829,0.158,65.316,0.121,0.546,0.085,5.324,0.089
390.000,73.806,0.149,65.401,0.149,0.586,0.083,5.308,0.081
400.000,73.775,0.155,65.424,0.173,0.538,0.085,5.340,0.039
410.000,73.829,0.141,65.362,0.200,0.562,0.099,5.292,0.067
420.000,73.783,0.140,65.409,0.169,0.594,0.087,5.349,0.095
430.000,73.806,0.125,65.486,0.204,0.562,0.065,5.292,0.094
440.000,73.729,0.096,65.416,0.212,0.586,0.053,5.308,0.089
450.000,73.882,0.096,65.409,0.226,0.610,0.065,5.251,0.051
460.000,73.721,0.124,65.517,0.252,0.538,0.055,5.308,0.111
470.000,73.875,0.087,65.486,0.211,0.586,0.083,5.308,0.060
480.000,73.813,0.115,65.370,0.207,0.538,0.055,5.292,0.055
490.000,73.798,0.087,65.409,0.180,0.570,0.073,5.284,0.069
500.000,73.783,0.114,65.416,0.182,0.578,0.058,5.332,0.107
510.000,73.813,0.217,65.308,0.193,0.538,0.076,5.284,0.087
520.000,73.813,0.103,65.385,0.164,0.570,0.073,5.308,0.105
530.000,73.798,0.119,65.447,0.116,0.586,0.083,5.284,0.069
540.000,73.829,0.131,65.432,0.174,0.570,0.062,5.316,0.101
550.000,73.752,0.097,65.478,0.195,0.554,0.055,5.284,0.079
560.000,73.790,0.111,65.447,0.175,0.570,0.073,5.316,0.077
570.000,73.790,0.099,65.463,0.179,0.546,0.077,5.292,0.094
580.000,73.821,0.090,65.432,0.154,0.546,0.093,5.373,0.086
