time,Thi Mean,Thi Std,Tho Mean,Tho Std,Tci Mean,Tci Std,Tco Mean,Tco Std
0.000,59.927,0.129,54.340,0.143,0.610,0.053,1.577,0.094
10.000,59.997,0.103,54.317,0.082,0.562,0.053,1.561,0.084
20.000,59.966,0.128,54.317,0.160,0.570,0.128,1.642,0.092
30.000,59.943,0.171,54.379,0.132,0.570,0.090,1.569,0.081
40.000,59.950,0.105,54.364,0.105,0.586,0.075,1.553,0.055
50.000,60.028,0.098,54.403,0.044,0.610,0.065,1.520,0.077
60.000,59.958,0.117,54.309,0.093,0.618,0.100,1.512,0.051
70.000,59.989,0.165,54.333,0.103,0.578,0.069,1.585,0.089
80.000,59.966,0.142,54.333,0.089,0.562,0.065,1.537,0.069
90.000,60.036,0.176,54.333,0.103,0.586,0.075,1.520,0.094
100.000,59.966,0.075,54.356,0.066,0.538,0.100,1.512,0.064
110.000,59.888,0.075,54.325,0.135,0.586,0.083,1.594,0.064
120.000,59.950,0.122,54.356,0.173,0.578,0.045,1.569,0.060
130.000,60.020,0.132,54.372,0.180,0.594,0.087,1.561,0.084
140.000,59.935,0.158,54.255,0.115,0.578,0.095,1.569,0.060
150.000,60.005,0.057,54.278,0.066,0.586,0.065,1.594,0.064
160.000,60.028,0.098,54.317,0.138,0.523,0.090,1.634,0.067
170.000,60.043,0.105,54.387,0.086,0.594,0.095,1.634,0.077
180.000,59.958,0.066,54.333,0.081,0.562,0.053,1.634,0.039
190.000,59.912,0.165,54.270,0.212,0.554,0.067,1.626,0.095
200.000,59.950,0.111,54.262,0.111,0.602,0.082,1.642,0.064
210.000,59.873,0.117,54.301,0.081,0.578,0.058,1.650,0.089
220.000,59.981,0.131,54.325,0.113,0.578,0.108,1.650,0.097
230.000,59.919,0.089,54.309,0.154,0.602,0.104,1.667,0.071
240.000,60.067,0.124,54.294,0.104,0.554,0.093,1.634,0.067
250.000,60.067,0.085,54.372,0.098,0.578,0.079,1.650,0.081
260.000,59.927,0.112,54.301,0.096,0.538,0.093,1.626,0.103
270.000,59.966,0.083,54.301,0.096,0.554,0.113,1.667,0.081
280.000,60.043,0.065,54.223,0.103,0.602,0.090,1.667,0.081
290.000,59.904,0.167,54.333,0.081,0.578,0.045,1.642,0.064
300.000,59.943,0.121,54.333,0.155,0.554,0.055,1.748,0.124
