time,Thi Mean,Thi Std,Tho Mean,Tho Std,Tci Mean,Tci Std,Tco Mean,Tco Std
0.000,39.788,0.100,35.820,0.139,0.546,0.042,0.765,0.066
10.000,39.741,0.110,35.788,0.113,0.618,0.041,0.789,0.094
20.000,39.781,0.099,35.884,0.107,0.610,0.084,0.756,0.081
30.000,39.781,0.099,35.828,0.115,0.562,0.065,0.781,0.064
40.000,39.733,0.099,35.796,0.114,0.578,0.079,0.821,0.067
50.000,39.733,0.084,35.804,0.085,0.570,0.090,0.781,0.107
60.000,39.788,0.100,35.741,0.097,0.562,0.065,0.789,0.055
70.000,39.788,0.130,35.844,0.102,0.554,0.085,0.813,0.079
80.000,39.749,0.141,35.828,0.087,0.594,0.058,0.789,0.067
90.000,39.765,0.108,35.796,0.086,0.610,0.053,0.789,0.055
100.000,39.757,0.123,35.773,0.104,0.538,0.093,0.773,0.060
110.000,39.710,0.130,35.709,0.077,0.570,0.073,0.830,0.064
120.000,39.781,0.144,35.804,0.093,0.531,0.065,0.805,0.057
130.000,39.702,0.149,35.828,0.102,0.570,0.090,0.748,0.051
140.000,39.733,0.129,35.836,0.092,0.554,0.093,0.773,0.060
150.000,39.741,0.128,35.852,0.104,0.673,0.095,0.756,0.097
160.000,39.717,0.093,35.812,0.084,0.578,0.079,0.724,0.057
170.000,39.773,0.097,35.828,0.087,0.554,0.067,0.797,0.116
180.000,39.717,0.145,35.844,0.069,0.546,0.093,0.756,0.060
190.000,39.765,0.120,35.860,0.124,0.554,0.067,0.821,0.055
200.000,39.725,0.100,35.796,0.125,0.602,0.073,0.740,0.055
210.000,39.710,0.076,35.788,0.085,0.594,0.079,0.765,0.108
220.000,39.757,0.083,35.828,0.059,0.562,0.053,0.789,0.077
230.000,39.686,0.108,35.852,0.097,0.562,0.099,0.789,0.055
240.000,39.781,0.091,35.836,0.075,0.578,0.058,0.797,0.087
250.000,39.781,0.091,35.852,0.097,0.570,0.073,0.756,0.071
260.000,39.741,0.110,35.828,0.126,0.554,0.085,0.797,0.103
270.000,39.717,0.113,35.828,0.069,0.570,0.050,0.773,0.089
280.000,39.765,0.087,35.773,0.050,0.602,0.090,0.830,0.075
290.000,39.749,0.094,35.844,0.102,0.586,0.091,0.773,0.071
300.000,39.733,0.084,35.836,0.065,0.570,0.082,0.756,0.071
310.000,39.717,0.100,35.820,0.097,0.538,0.076,0.789,0.067
320.000,39.788,0.085,35.852,0.082,0.578,0.069,0.781,0.064
330.000,39.725,0.085,35.804,0.067,0.578,0.079,0.765,0.066
340.000,39.717,0.107,35.820,0.090,0.586,0.083,0.789,0.039
350.000,39.741,0.122,35.804,0.077,0.554,0.067,0.789,0.077
360.000,39.733,0.075,35.844,0.161,0.562,0.053,0.781,0.075
370.000,39.694,0.090,35.844,0.069,0.602,0.082,0.748,0.092
380.000,39.694,0.104,35.796,0.093,0.610,0.038,0.740,0.055
390.000,39.646,0.113,35.788,0.093,0.586,0.065,0.789,0.077
400.000,39.733,0.124,35.804,0.093,0.594,0.058,0.813,0.087
410.000,39.773,0.122,35.765,0.069,0.562,0.053,0.830,0.064
420.000,39.725,0.124,35.749,0.102,0.594,0.058,0.773,0.089
430.000,39.694,0.097,35.765,0.059,0.570,0.111,0.781,0.075
440.000,39.670,0.136,35.788,0.067,0.594,0.058,0.830,0.075
450.000,39.757,0.149,35.741,0.117,0.618,0.100,0.813,0.069
460.000,39.662,0.157,35.796,0.086,0.554,0.076,0.789,0.086
470.000,39.710,0.124,35.812,0.112,0.570,0.073,0.724,0.069
480.000,39.694,0.110,35.796,0.101,0.570,0.073,0.765,0.077
