time,Thi Mean,Thi Std,Tho Mean,Tho Std,Tci Mean,Tci Std,Tco Mean,Tco Std
0.000,69.777,0.101,62.586,0.091,0.538,0.041,2.943,0.114
10.000,69.739,0.081,62.609,0.146,0.570,0.062,2.967,0.060
20.000,69.785,0.105,62.601,0.122,0.578,0.058,2.918,0.043
30.000,69.693,0.109,62.539,0.114,0.546,0.100,2.927,0.069
40.000,69.769,0.109,62.624,0.118,0.546,0.077,2.967,0.097
50.000,69.739,0.120,62.640,0.068,0.570,0.082,3.000,0.096
60.000,69.700,0.124,62.640,0.148,0.538,0.113,3.000,0.057
70.000,69.623,0.113,62.609,0.116,0.531,0.084,2.918,0.088
80.000,69.693,0.081,62.648,0.071,0.578,0.069,2.935,0.067
90.000,69.662,0.162,62.648,0.140,0.562,0.065,3.008,0.057
100.000,69.662,0.162,62.640,0.152,0.578,0.079,3.008,0.095
110.000,69.716,0.072,62.593,0.133,0.610,0.053,3.016,0.067
120.000,69.739,0.120,62.555,0.082,0.586,0.091,3.024,0.064
130.000,69.677,0.104,62.624,0.068,0.546,0.085,3.048,0.089
140.000,69.716,0.120,62.586,0.117,0.570,0.033,3.008,0.116
150.000,69.762,0.097,62.578,0.104,0.531,0.065,3.024,0.084
160.000,69.769,0.063,62.493,0.192,0.570,0.082,2.975,0.092
170.000,69.716,0.125,62.648,0.158,0.570,0.097,3.040,0.077
180.000,69.708,0.138,62.601,0.065,0.578,0.058,3.024,0.084
190.000,69.700,0.079,62.578,0.104,0.602,0.073,2.992,0.095
200.000,69.739,0.145,62.648,0.102,0.618,0.076,2.992,0.069
210.000,69.739,0.096,62.593,0.091,0.594,0.069,2.967,0.060
220.000,69.700,0.101,62.539,0.108,0.554,0.055,2.927,0.069
230.000,69.769,0.063,62.586,0.127,0.507,0.053,2.992,0.079
240.000,69.754,0.091,62.632,0.109,0.570,0.104,2.943,0.064
250.000,69.754,0.075,62.570,0.162,0.515,0.079,2.902,0.039
260.000,69.808,0.124,62.617,0.102,0.602,0.082,2.862,0.132
270.000,69.769,0.162,62.586,0.142,0.538,0.085,2.894,0.075
280.000,69.808,0.107,62.586,0.105,0.554,0.107,2.829,0.110
290.000,69.693,0.136,62.586,0.127,0.546,0.077,2.837,0.069
300.000,69.746,0.110,62.679,0.122,0.546,0.093,2.788,0.060
310.000,69.792,0.174,62.601,0.133,0.625,0.093,2.797,0.066
320.000,69.800,0.147,62.648,0.114,0.594,0.058,2.780,0.107
330.000,69.685,0.121,62.578,0.127,0.578,0.069,2.756,0.079
340.000,69.793,0.102,62.617,0.120,0.546,0.077,2.707,0.046
350.000,69.739,0.089,62.694,0.158,0.538,0.093,2.740,0.067
360.000,69.800,0.123,62.632,0.109,0.578,0.069,2.618,0.075
370.000,69.723,0.117,62.578,0.090,0.538,0.076,2.691,0.067
380.000,69.769,0.096,62.547,0.143,0.578,0.058,2.675,0.057
390.000,69.739,0.145,62.609,0.090,0.523,0.073,2.666,0.069
400.000,69.785,0.111,62.671,0.098,0.578,0.087,2.618,0.107
410.000,69.777,0.148,62.516,0.091,0.570,0.073,2.618,0.100
420.000,69.800,0.117,62.601,0.083,0.531,0.065,2.601,0.042
430.000,69.739,0.154,62.578,0.110,0.610,0.065,2.569,0.100
440.000,69.777,0.079,62.686,0.104,0.586,0.065,2.577,0.102
450.000,69.746,0.110,62.532,0.104,0.578,0.087,2.618,0.092
460.000,69.808,0.101,62.655,0.127,0.562,0.053,2.569,0.075
470.000,69.808,0.139,62.586,0.117,0.538,0.093,2.626,0.081
480.000,69.716,0.081,62.694,0.088,0.546,0.067,2.634,0.086
490.000,69.746,0.110,62.640,0.129,0.578,0.069,2.553,0.066
500.000,69.846,0.131,62.601,0.156,0.602,0.097,2.577,0.067
510.000,69.785,0.105,62.609,0.127,0.570,0.033,2.626,0.081
520.000,69.816,0.073,62.617,0.125,0.538,0.100,2.593,0.057
530.000,69.839,0.159,62.655,0.110,0.562,0.099,2.610,0.094
540.000,69.716,0.109,62.663,0.117,0.554,0.085,2.618,0.075
550.000,69.746,0.097,62.640,0.106,0.538,0.076,2.666,0.057
560.000,69.762,0.083,62.601,0.111,0.570,0.090,2.675,0.088
570.000,69.785,0.138,62.570,0.061,0.594,0.058,2.626,0.089
580.000,69.823,0.121,62.593,0.111,0.578,0.095,2.650,0.092
590.000,69.754,0.141,62.632,0.097,0.578,0.058,2.634,0.086
600.000,69.831,0.167,62.578,0.090,0.586,0.091,2.618,0.064
610.000,69.839,0.155,62.617,0.095,0.546,0.042,2.666,0.069
620.000,69.808,0.180,62.593,0.105,0.546,0.056,2.626,0.060
630.000,69.831,0.121,62.578,0.142,0.578,0.058,2.683,0.042
640.000,69.777,0.139,62.555,0.089,0.586,0.075,2.658,0.067
650.000,69.808,0.157,62.655,0.082,0.546,0.085,2.642,0.111
660.000,69.793,0.081,62.617,0.114,0.586,0.075,2.691,0.133
670.000,69.839,0.104,62.655,0.110,0.578,0.069,2.691,0.102
680.000,69.854,0.071,62.586,0.138,0.586,0.091,2.715,0.086
690.000,69.862,0.057,62.686,0.127,0.523,0.062,2.675,0.088
700.000,69.877,0.099,62.593,0.084,0.562,0.099,2.731,0.051
710.000,69.816,0.109,62.632,0.150,0.570,0.104,2.683,0.057
720.000,69.816,0.150,62.593,0.111,0.546,0.077,2.666,0.079
730.000,69.839,0.104,62.624,0.106,0.570,0.062,2.715,0.066
740.000,69.854,0.094,62.601,0.142,0.570,0.082,2.723,0.060
750.000,69.823,0.141,62.555,0.089,0.554,0.055,2.772,0.055
760.000,69.777,0.124,62.501,0.146,0.594,0.058,2.748,0.116
770.000,69.754,0.116,62.555,0.110,0.562,0.075,2.707,0.081
780.000,69.816,0.089,62.609,0.104,0.578,0.069,2.764,0.079
790.000,69.731,0.124,62.524,0.147,0.562,0.084,2.748,0.042
800.000,69.854,0.101,62.570,0.131,0.586,0.083,2.756,0.069
810.000,69.816,0.109,62.586,0.075,0.570,0.090,2.821,0.086
820.000,69.739,0.158,62.555,0.151,0.602,0.082,2.780,0.075
830.000,69.777,0.079,62.477,0.132,0.570,0.082,2.813,0.075
840.000,69.739,0.063,62.601,0.147,0.546,0.056,2.853,0.086
850.000,69.746,0.083,62.617,0.131,0.538,0.076,2.805,0.081
860.000,69.869,0.102,62.570,0.120,0.531,0.099,2.821,0.086
870.000,69.808,0.144,62.531,0.142,0.578,0.069,2.797,0.054
880.000,69.831,0.075,62.555,0.141,0.562,0.092,2.845,0.069
890.000,69.816,0.136,62.586,0.105,0.570,0.097,2.821,0.067
900.000,69.816,0.089,62.655,0.090,0.602,0.082,2.862,0.034
910.000,69.746,0.097,62.524,0.138,0.610,0.065,2.870,0.089
920.000,69.839,0.150,62.516,0.168,0.570,0.082,2.886,0.089
930.000,69.816,0.145,62.516,0.098,0.546,0.077,2.813,0.107
940.000,69.777,0.119,62.570,0.088,0.602,0.082,2.870,0.081
950.000,69.831,0.110,62.733,0.146,0.554,0.100,2.853,0.077
960.000,69.731,0.079,62.617,0.140,0.538,0.067,2.862,0.092
970.000,69.777,0.139,62.617,0.145,0.578,0.079,2.829,0.103
980.000,69.839,0.110,62.601,0.111,0.507,0.099,2.845,0.079
990.000,69.915,0.116,62.578,0.121,0.570,0.090,2.805,0.081
1000.000,69.839,0.127,62.617,0.088,0.602,0.062,2.821,0.055
