time,Thi Mean,Thi Std,Tho Mean,Tho Std,Tci Mean,Tci Std,Tco Mean,Tco Std
870.000,54.663,0.082,49.179,0.105,0.562,0.065,2.162,0.051
880.000,54.718,0.116,49.109,0.129,0.594,0.069,2.130,0.137
890.000,54.695,0.116,49.132,0.148,0.538,0.067,2.187,0.117
900.000,54.663,0.138,49.023,0.148,0.570,0.062,2.179,0.069
910.000,54.648,0.107,49.093,0.110,0.586,0.083,2.179,0.079
920.000,54.640,0.104,49.070,0.094,0.570,0.090,2.203,0.077
930.000,54.609,0.117,48.991,0.086,0.594,0.095,2.171,0.055
940.000,54.617,0.104,49.085,0.114,0.531,0.112,2.268,0.069
950.000,54.687,0.157,49.117,0.135,0.562,0.075,2.325,0.114
960.000,54.687,0.128,49.023,0.148,0.610,0.065,2.293,0.100
970.000,54.695,0.110,49.140,0.127,0.523,0.050,2.252,0.067
980.000,54.656,0.115,49.156,0.148,0.610,0.084,2.268,0.069
990.000,54.632,0.129,49.101,0.117,0.578,0.058,2.268,0.096
1000.000,54.609,0.152,49.148,0.114,0.570,0.073,2.268,0.079
1010.000,54.663,0.151,49.109,0.124,0.578,0.079,2.244,0.075
1020.000,54.617,0.138,49.117,0.118,0.523,0.050,2.293,0.051
1030.000,54.687,0.117,49.187,0.129,0.618,0.076,2.203,0.055
1040.000,54.640,0.104,49.219,0.062,0.578,0.069,2.268,0.079
1050.000,54.671,0.123,49.093,0.110,0.602,0.062,2.260,0.087
1060.000,54.523,0.084,49.101,0.117,0.554,0.067,2.244,0.092
1070.000,54.601,0.128,49.164,0.078,0.578,0.058,2.219,0.026
1080.000,54.562,0.137,49.211,0.065,0.554,0.085,2.219,0.105
1090.000,54.609,0.143,49.125,0.066,0.578,0.069,2.211,0.092
1100.000,54.578,0.131,49.109,0.084,0.546,0.093,2.195,0.079
1110.000,54.562,0.110,49.078,0.091,0.562,0.038,2.187,0.069
1120.000,54.648,0.119,49.132,0.105,0.570,0.082,2.211,0.051
1130.000,54.679,0.152,49.117,0.135,0.578,0.069,2.219,0.060
1140.000,54.625,0.136,49.125,0.153,0.594,0.045,2.211,0.084
1150.000,54.586,0.127,49.062,0.116,0.578,0.102,2.244,0.064
1160.000,54.562,0.082,49.148,0.140,0.602,0.062,2.195,0.057
1170.000,54.586,0.074,49.156,0.083,0.554,0.067,2.211,0.064
1180.000,54.625,0.109,48.999,0.123,0.578,0.045,2.162,0.092
1190.000,54.609,0.123,49.023,0.074,0.602,0.082,2.138,0.124
1200.000,54.593,0.066,48.850,0.183,0.594,0.087,2.146,0.054
1210.000,54.586,0.142,48.827,0.116,0.562,0.065,2.130,0.084
1220.000,54.640,0.132,48.733,0.124,0.578,0.058,2.187,0.096
1230.000,54.593,0.105,48.827,0.132,0.586,0.075,2.138,0.081
1240.000,54.671,0.111,48.889,0.106,0.594,0.087,2.122,0.102
1250.000,54.554,0.129,48.944,0.148,0.610,0.053,2.130,0.092
1260.000,54.593,0.105,48.858,0.089,0.538,0.055,2.179,0.087
1270.000,54.609,0.180,48.999,0.064,0.594,0.069,2.097,0.095
1280.000,54.554,0.093,48.834,0.130,0.586,0.053,2.171,0.109
1290.000,54.648,0.158,48.834,0.136,0.594,0.079,2.122,0.055
1300.000,54.632,0.068,48.858,0.152,0.562,0.084,2.195,0.079
1310.000,54.570,0.129,48.819,0.123,0.538,0.085,2.179,0.057
1320.000,54.562,0.082,48.929,0.136,0.562,0.075,2.219,0.071
1330.000,54.695,0.104,48.811,0.076,0.610,0.075,2.219,0.105
1340.000,54.593,0.123,48.866,0.105,0.594,0.058,2.171,0.067
1350.000,54.640,0.122,48.976,0.117,0.602,0.082,2.195,0.057
1360.000,54.656,0.115,48.858,0.103,0.618,0.067,2.244,0.064
1370.000,54.625,0.072,48.819,0.134,0.625,0.077,2.244,0.051
1380.000,54.671,0.123,48.725,0.135,0.562,0.106,2.244,0.075
1390.000,54.687,0.128,48.733,0.118,0.546,0.085,2.244,0.075
1400.000,54.718,0.137,48.827,0.116,0.570,0.062,2.309,0.054
1410.000,54.702,0.126,48.811,0.129,0.570,0.073,2.325,0.051
1420.000,54.632,0.129,48.842,0.123,0.586,0.053,2.341,0.057
1430.000,54.679,0.112,48.921,0.074,0.570,0.090,2.309,0.101
1440.000,54.679,0.148,48.913,0.136,0.586,0.075,2.325,0.051
1450.000,54.687,0.111,48.842,0.083,0.586,0.065,2.317,0.060
1460.000,54.617,0.110,48.717,0.129,0.578,0.045,2.236,0.046
1470.000,54.663,0.064,48.733,0.118,0.594,0.058,2.293,0.064
1480.000,54.695,0.064,48.882,0.076,0.554,0.119,2.309,0.121
1490.000,54.679,0.041,48.858,0.156,0.602,0.082,2.252,0.067
1500.000,54.671,0.148,48.929,0.145,0.515,0.095,2.244,0.100
1510.000,54.695,0.090,48.960,0.118,0.625,0.077,2.268,0.088
1520.000,54.663,0.133,48.921,0.165,0.594,0.087,2.268,0.043
1530.000,54.679,0.134,49.007,0.058,0.578,0.079,2.236,0.089
1540.000,54.687,0.128,48.968,0.084,0.531,0.075,2.228,0.077
1550.000,54.656,0.109,48.944,0.148,0.562,0.053,2.260,0.095
1560.000,54.757,0.112,48.952,0.112,0.610,0.065,2.252,0.055
1570.000,54.695,0.090,49.038,0.092,0.594,0.079,2.236,0.071
1580.000,54.702,0.088,48.960,0.140,0.586,0.075,2.244,0.064
1590.000,54.656,0.096,49.015,0.121,0.546,0.067,2.276,0.103
1600.000,54.733,0.080,49.031,0.124,0.546,0.067,2.293,0.064
1610.000,54.726,0.139,48.991,0.167,0.625,0.067,2.236,0.081
1620.000,54.702,0.102,49.007,0.107,0.594,0.058,2.293,0.075
1630.000,54.741,0.097,49.038,0.076,0.602,0.082,2.276,0.069
1640.000,54.710,0.119,48.944,0.105,0.594,0.087,2.301,0.105
1650.000,54.695,0.097,49.070,0.045,0.570,0.082,2.309,0.077
1660.000,54.757,0.112,49.038,0.112,0.546,0.067,2.358,0.042
1670.000,54.749,0.098,49.062,0.089,0.570,0.073,2.317,0.071
1680.000,54.718,0.172,49.054,0.139,0.578,0.058,2.390,0.086
1690.000,54.749,0.098,49.046,0.129,0.586,0.053,2.414,0.086
1700.000,54.726,0.202,49.046,0.106,0.562,0.075,2.406,0.084
1710.000,54.702,0.131,49.054,0.098,0.578,0.058,2.398,0.071
1720.000,54.679,0.112,49.070,0.094,0.570,0.050,2.414,0.077
1730.000,54.765,0.148,49.054,0.083,0.610,0.065,2.455,0.051
1740.000,54.718,0.097,49.085,0.114,0.618,0.055,2.447,0.086
1750.000,54.733,0.131,49.078,0.098,0.633,0.085,2.447,0.077
1760.000,54.757,0.112,49.054,0.105,0.578,0.069,2.463,0.060
1770.000,54.718,0.127,48.976,0.157,0.554,0.093,2.496,0.067
1780.000,54.803,0.139,48.983,0.089,0.625,0.067,2.496,0.055
1790.000,54.733,0.193,48.936,0.164,0.578,0.058,2.479,0.118
1800.000,54.811,0.126,49.038,0.106,0.594,0.045,2.520,0.087
1810.000,54.733,0.102,49.015,0.121,0.602,0.062,2.512,0.079
1820.000,54.803,0.139,49.015,0.081,0.649,0.050,2.569,0.100
1830.000,54.765,0.091,48.999,0.143,0.610,0.112,2.545,0.060
1840.000,54.741,0.147,48.913,0.094,0.578,0.069,2.545,0.081
1850.000,54.757,0.099,49.007,0.101,0.602,0.090,2.512,0.057
1860.000,54.788,0.093,48.999,0.083,0.570,0.082,2.536,0.092
1870.000,54.788,0.093,48.999,0.128,0.578,0.045,2.553,0.066
1880.000,54.710,0.093,48.983,0.160,0.562,0.106,2.545,0.097
1890.000,54.757,0.084,48.889,0.092,0.570,0.097,2.634,0.054
1900.000,54.710,0.129,48.999,0.083,0.578,0.058,2.545,0.060
1910.000,54.765,0.084,48.952,0.144,0.625,0.067,2.569,0.100
1920.000,54.726,0.086,48.968,0.055,0.586,0.053,2.561,0.089
1930.000,54.741,0.151,48.960,0.129,0.538,0.100,2.577,0.067
1940.000,54.733,0.131,48.921,0.064,0.578,0.079,2.610,0.067
1950.000,54.788,0.086,48.960,0.100,0.531,0.065,2.593,0.103
1960.000,54.718,0.104,49.007,0.119,0.570,0.082,2.642,0.089
1970.000,54.710,0.162,48.929,0.186,0.594,0.069,2.610,0.067
1980.000,54.780,0.102,48.968,0.170,0.570,0.050,2.618,0.092
1990.000,54.780,0.121,49.007,0.107,0.586,0.037,2.650,0.114
2000.000,54.858,0.088,49.015,0.142,0.531,0.099,2.666,0.057
2010.000,54.765,0.157,49.054,0.143,0.554,0.085,2.683,0.079
2020.000,54.695,0.064,49.007,0.154,0.594,0.079,2.691,0.102
2030.000,54.757,0.084,49.054,0.139,0.602,0.073,2.675,0.088
2040.000,54.741,0.090,48.952,0.153,0.594,0.108,2.610,0.094
2050.000,54.788,0.139,48.929,0.150,0.602,0.062,2.675,0.088
2060.000,54.710,0.113,48.913,0.107,0.570,0.062,2.715,0.086
2070.000,54.757,0.105,49.007,0.119,0.578,0.095,2.618,0.126
2080.000,54.726,0.119,49.015,0.050,0.546,0.085,2.675,0.096
2090.000,54.741,0.053,48.999,0.143,0.594,0.079,2.691,0.077
2100.000,54.811,0.150,48.976,0.053,0.586,0.053,2.658,0.055
2110.000,54.772,0.090,48.983,0.137,0.570,0.082,2.642,0.026
2120.000,54.749,0.148,49.046,0.106,0.602,0.073,2.658,0.067
2130.000,54.772,0.142,49.015,0.132,0.594,0.079,2.658,0.086
2140.000,54.710,0.068,48.882,0.178,0.578,0.058,2.699,0.075
2150.000,54.811,0.088,48.874,0.099,0.586,0.065,2.634,0.094
2160.000,54.780,0.121,49.007,0.140,0.602,0.090,2.650,0.092
2170.000,54.710,0.077,48.991,0.163,0.562,0.075,2.691,0.067
2180.000,54.842,0.111,48.983,0.072,0.570,0.073,2.634,0.077
2190.000,54.788,0.124,48.983,0.156,0.570,0.082,2.593,0.043
2200.000,54.819,0.122,49.007,0.101,0.586,0.075,2.650,0.100
2210.000,54.796,0.176,49.054,0.123,0.538,0.107,2.610,0.067
2220.000,54.827,0.066,49.070,0.125,0.602,0.033,2.593,0.057
2230.000,54.835,0.152,48.999,0.091,0.586,0.129,2.658,0.086
2240.000,54.788,0.086,49.031,0.149,0.578,0.069,2.618,0.051
2250.000,54.780,0.136,49.046,0.129,0.586,0.075,2.626,0.089
2260.000,54.804,0.057,49.031,0.099,0.594,0.079,2.561,0.111
2270.000,54.741,0.053,49.046,0.106,0.625,0.077,2.561,0.089
2280.000,54.757,0.084,49.085,0.101,0.610,0.075,2.561,0.071
2290.000,54.788,0.107,49.101,0.065,0.594,0.045,2.593,0.057
2300.000,54.741,0.082,49.023,0.143,0.570,0.104,2.577,0.077
2310.000,54.788,0.093,49.125,0.112,0.546,0.067,2.593,0.069
2320.000,54.835,0.138,49.093,0.081,0.554,0.076,2.569,0.092
2330.000,54.749,0.091,49.101,0.117,0.546,0.085,2.553,0.094
2340.000,54.772,0.116,49.078,0.105,0.578,0.058,2.536,0.064
2350.000,54.780,0.102,49.054,0.209,0.594,0.058,2.585,0.087
2360.000,54.695,0.104,49.109,0.118,0.633,0.076,2.488,0.075
2370.000,54.741,0.133,49.085,0.086,0.594,0.069,2.536,0.100
2380.000,54.726,0.077,49.093,0.142,0.546,0.085,2.553,0.086
2390.000,54.772,0.104,48.991,0.194,0.578,0.058,2.528,0.094
2400.000,54.749,0.098,48.913,0.101,0.554,0.055,2.536,0.075
2410.000,54.632,0.124,48.960,0.186,0.578,0.102,2.488,0.034
2420.000,54.617,0.142,48.913,0.086,0.570,0.090,2.577,0.055
2430.000,54.702,0.121,48.991,0.119,0.554,0.067,2.561,0.105
2440.000,54.640,0.097,48.976,0.153,0.610,0.038,2.545,0.071
2450.000,54.679,0.084,49.054,0.074,0.562,0.065,2.561,0.081
2460.000,54.640,0.110,48.983,0.137,0.610,0.099,2.593,0.069
2470.000,54.625,0.136,49.023,0.074,0.570,0.090,2.618,0.064
2480.000,54.648,0.100,49.007,0.119,0.625,0.067,2.585,0.079
2490.000,54.625,0.109,48.976,0.091,0.578,0.079,2.626,0.081
2500.000,54.617,0.104,48.976,0.105,0.562,0.075,2.634,0.054
2510.000,54.586,0.082,49.023,0.074,0.633,0.055,2.675,0.069
2520.000,54.640,0.073,49.031,0.076,0.554,0.076,2.707,0.060
2530.000,54.523,0.123,48.944,0.098,0.570,0.062,2.691,0.077
2540.000,54.609,0.105,48.921,0.091,0.578,0.087,2.731,0.051
2550.000,54.578,0.080,48.905,0.103,0.594,0.069,2.699,0.092
2560.000,54.648,0.086,48.842,0.098,0.633,0.076,2.731,0.092
2570.000,54.609,0.117,48.756,0.107,0.578,0.069,2.788,0.105
2580.000,54.578,0.146,48.787,0.117,0.546,0.085,2.731,0.100
2590.000,54.484,0.116,48.819,0.111,0.578,0.069,2.731,0.064
2600.000,54.562,0.127,48.827,0.072,0.562,0.092,2.821,0.067
2610.000,54.648,0.107,48.795,0.144,0.515,0.079,2.731,0.100
2620.000,54.547,0.175,48.819,0.083,0.554,0.093,2.805,0.089
2630.000,54.578,0.088,48.834,0.119,0.578,0.102,2.788,0.081
2640.000,54.601,0.066,48.827,0.062,0.570,0.090,2.788,0.046
2650.000,54.508,0.104,48.811,0.124,0.602,0.062,2.813,0.051
2660.000,54.547,0.115,48.803,0.106,0.578,0.079,2.772,0.055
2670.000,54.593,0.117,48.842,0.128,0.570,0.082,2.723,0.060
2680.000,54.586,0.097,48.834,0.107,0.594,0.069,2.748,0.087
2690.000,54.508,0.110,48.842,0.091,0.594,0.058,2.715,0.094
2700.000,54.570,0.129,48.882,0.124,0.610,0.053,2.683,0.095
2710.000,54.586,0.122,48.866,0.148,0.602,0.073,2.675,0.057
2720.000,54.578,0.141,48.913,0.154,0.570,0.073,2.707,0.089
2730.000,54.539,0.127,48.827,0.121,0.586,0.037,2.683,0.095
2740.000,54.617,0.122,48.921,0.157,0.570,0.062,2.658,0.039
2750.000,54.570,0.129,48.936,0.142,0.578,0.069,2.618,0.064
2760.000,54.609,0.111,48.874,0.099,0.562,0.099,2.642,0.060
2770.000,54.539,0.082,48.897,0.074,0.586,0.053,2.618,0.064
2780.000,54.562,0.132,48.889,0.106,0.538,0.055,2.618,0.084
2790.000,54.570,0.086,48.866,0.105,0.562,0.065,2.610,0.067
2800.000,54.562,0.156,48.827,0.142,0.602,0.097,2.577,0.077
2810.000,54.601,0.128,48.811,0.092,0.594,0.045,2.601,0.069
2820.000,54.523,0.112,48.850,0.136,0.578,0.069,2.610,0.102
2830.000,54.570,0.119,48.819,0.105,0.562,0.038,2.585,0.057
2840.000,54.601,0.066,48.850,0.119,0.633,0.076,2.561,0.071
2850.000,54.516,0.111,48.889,0.084,0.594,0.102,2.642,0.081
2860.000,54.617,0.116,48.803,0.085,0.586,0.053,2.666,0.069
2870.000,54.593,0.133,48.795,0.178,0.610,0.053,2.626,0.081
2880.000,54.531,0.075,48.866,0.098,0.602,0.062,2.634,0.066
2890.000,54.539,0.151,48.811,0.084,0.562,0.053,2.618,0.051
2900.000,54.508,0.127,48.787,0.083,0.578,0.087,2.610,0.067
2910.000,54.586,0.151,48.780,0.081,0.578,0.079,2.593,0.110
2920.000,54.578,0.141,48.819,0.189,0.570,0.082,2.634,0.054
2930.000,54.477,0.129,48.803,0.085,0.594,0.115,2.610,0.094
2940.000,54.469,0.096,48.866,0.111,0.602,0.104,2.650,0.075
2950.000,54.578,0.131,48.827,0.116,0.554,0.055,2.626,0.071
2960.000,54.500,0.109,48.889,0.112,0.602,0.097,2.610,0.086
2970.000,54.617,0.147,48.834,0.114,0.562,0.065,2.642,0.081
2980.000,54.578,0.061,48.842,0.105,0.602,0.062,2.618,0.064
2990.000,54.531,0.133,48.842,0.157,0.570,0.062,2.650,0.084
3000.000,54.586,0.090,48.889,0.118,0.594,0.058,2.707,0.071
3010.000,54.539,0.122,48.944,0.148,0.610,0.092,2.642,0.081
3020.000,54.523,0.112,48.842,0.083,0.578,0.069,2.658,0.067
3030.000,54.562,0.116,48.850,0.107,0.625,0.085,2.658,0.055
3040.000,54.586,0.097,48.866,0.091,0.625,0.067,2.675,0.069
3050.000,54.625,0.088,48.834,0.154,0.594,0.058,2.691,0.094
3060.000,54.570,0.107,48.827,0.147,0.562,0.065,2.707,0.071
3070.000,54.578,0.109,48.756,0.101,0.602,0.062,2.731,0.100
3080.000,54.554,0.124,48.772,0.120,0.562,0.075,2.764,0.122
3090.000,54.500,0.121,48.905,0.132,0.578,0.079,2.740,0.067
3100.000,54.523,0.128,48.858,0.089,0.602,0.062,2.723,0.081
